id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,npsot_dfw_recommended
bigtooth-maple,bigtooth maple,Acer grandidentatum,vase,3-8,3-5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,38,,,,#6b5a4a,6-8,moderate,ACGR3,Acer grandidentatum Nutt.,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,No,No,Spring,Spring and Summer,Summer,Summer,38.0,Medium,Low,Medium,Yes,Yes,Yes,6.0,8.0,no
common-yarrow,common yarrow,Achillea millefolium,mound,3-5,6,#f1f1e2,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#6b5a4a,6-8,moderate,ACMI2,Achillea millefolium L.,Forb/herb,AK:N|CAN:I|CAN:N|GL:N|HI:I|L48:I|L48:N|SPM:I|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Early Summer,Spring,Summer,Summer,3.0,Medium,Medium,Medium,No,Yes,No,6.0,8.0,yes
boxelder,boxelder,Acer negundo,tree,3-8,3,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,60,,,,#6b5a4a,6-11,heavy,ACNE2,Acer negundo L.,Tree,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,No,Yes,Yes,Early Spring,Spring and Summer,Summer,Fall,60.0,Low,High,Medium,Yes,Yes,Yes,5.0,7.8,yes
oppositeleaf-spotflower,oppositeleaf spotflower,Acmella oppositifolia var. repens,mound,6-8,8,#5b7a4b,,#5b7a4b,,,full-sun,medium,"loamy,clay",,0.7,,,,#3a3a34,6-11,moderate,ACOPR,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,Forb/herb,L48:N,Stoloniferous,Prostrate,Fine,Porous,Porous,No,Yes,No,No,Late Summer,Summer,Summer,Fall,0.7,High,Low,Medium,No,Yes,Yes,5.0,7.5,no
red-maple,red maple,Acer rubrum,tree,3-8,3,#b3261e,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,68,,,,#b3261e,3-5,heavy,ACRU,Acer rubrum L.,Tree,CAN:N|L48:N,Single Stem,Rounded,Medium,Dense,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Spring,68.0,Medium,Medium,High,Yes,Yes,Yes,4.7,7.3,yes
silver-maple,silver maple,Acer saccharinum,tree,3-8,3,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,90,,,,#6b5a4a,6-11,heavy,ACSA2,Acer saccharinum L.,Tree,CAN:N|L48:N,Single Stem,Rounded,Medium,Dense,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Summer,Fall,90.0,Medium,Low,Medium,Yes,Yes,Yes,4.0,7.3,no
virginia-threeseed-mercury,Virginia threeseed mercury,Acalypha virginica,mound,3-11,6,#b3261e,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#b3261e,6-11,heavy,ACVI,Acalypha virginica L.,Forb/herb,L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,Yes,No,Yes,Early Summer,"Spring, Summer, Fall",Summer,Fall,3.0,Medium,Medium,Medium,No,Yes,No,5.9,7.0,no
common-maidenhair,common maidenhair,Adiantum capillus-veneris,mound,3-8,6-8,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,1.7,,,,#6b5a4a,6-11,moderate,ADCA,Adiantum capillus-veneris L.,Forb/herb,CAN:N|HI:N|L48:N|PR:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring and Summer,Summer,Fall,1.7,Low,None,High,No,Yes,Yes,6.0,8.0,no
ohio-buckeye,Ohio buckeye,Aesculus glabra,tree,3-8,4,#5b7a4b,,#5b7a4b,,,shade,medium,"loamy,clay",,68,,,,#6b5a4a,3-11,moderate,AEGL,Aesculus glabra Willd.,Tree,CAN:N|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Spring,Fall,68.0,Low,Medium,Medium,No,Yes,Yes,5.0,7.1,no
red-buckeye,red buckeye,Aesculus pavia,vase,3-8,5,#b3261e,,,,,shade,high,"sandy,loamy,clay",,25,,,,#6b5a4a,6-11,moderate,AEPA,Aesculus pavia L.,Shrub,CAN:I|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Fall,25.0,Low,Low,High,Yes,Yes,Yes,3.7,7.0,no
