id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,blackland_prairie
boxelder,boxelder,Acer negundo,tree,3-8,3,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,60,,,,#6b5a4a,6-11,heavy,ACNE2,Acer negundo L.,Tree,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,No,Yes,Yes,Early Spring,Spring and Summer,Summer,Fall,60.0,Low,High,Medium,Yes,Yes,Yes,5.0,7.8,yes
red-maple,red maple,Acer rubrum,tree,3-8,3,#b3261e,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,68,,,,#b3261e,3-5,heavy,ACRU,Acer rubrum L.,Tree,CAN:N|L48:N,Single Stem,Rounded,Medium,Dense,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Spring,68.0,Medium,Medium,High,Yes,Yes,Yes,4.7,7.3,yes
common-yarrow,common yarrow,Achillea millefolium,mound,3-5,6,#f1f1e2,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#6b5a4a,6-8,moderate,ACMI2,Achillea millefolium L.,Forb/herb,AK:N|CAN:I|CAN:N|GL:N|HI:I|L48:I|L48:N|SPM:I|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Early Summer,Spring,Summer,Summer,3.0,Medium,Medium,Medium,No,Yes,No,6.0,8.0,yes
western-yarrow,western yarrow,Achillea millefolium var. occidentalis,mound,3-5,5,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,3,,,,#6b5a4a,6-11,moderate,ACMIO,Achillea millefolium L. var. occidentalis DC.,Forb/herb,AK:N|CAN:N|GL:N|L48:N|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Late Spring,Spring,Summer,Fall,3.0,Medium,Medium,Medium,Yes,Yes,No,6.0,8.0,yes
big-bluestem,big bluestem,Andropogon gerardii,grass,6-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,7,,,,#6b5a4a,6-11,moderate,ANGE,Andropogon gerardii Vitman,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Summer,Summer,Summer,Fall,7.0,High,High,Medium,Yes,Yes,Yes,6.5,8.5,yes
bushy-bluestem,bushy bluestem,Andropogon glomeratus,grass,6-8,8,#f1f1e2,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,6.3,,,,#6b5a4a,9-12,heavy,ANGL2,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",Graminoid,HI:I|L48:N|NAV:N|PR:N|VI:I,Bunch,Erect,Fine,Dense,Moderate,No,No,No,Yes,Late Summer,Summer,Fall,Winter,6.3,High,Low,High,Yes,Yes,Yes,5.0,6.3,yes
white-sagebrush,white sagebrush,Artemisia ludoviciana,mound,3-8,7,#f1f1e2,,,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#f1f1e2,6-11,moderate,ARLU,Artemisia ludoviciana Nutt.,Forb/herb,CAN:N|L48:I|L48:N,Rhizomatous,Erect,Medium,Porous,Moderate,No,No,No,No,Mid Summer,Spring and Summer,Summer,Fall,3.0,High,Medium,Medium,Yes,Yes,Yes,6.0,9.0,yes
giant-cane,giant cane,Arundinaria gigantea,grass,3-5,,,,,,,full-sun,medium,"sandy,loamy,clay",,25,,,,,,,ARGI,Arundinaria gigantea (Walter) Muhl.,Graminoid,L48:N,Rhizomatous,Erect,Medium,Dense,Dense,No,No,No,Yes,,Spring,,,25.0,High,Medium,Medium,Yes,Yes,Yes,5.0,6.9,yes
butterfly-milkweed,butterfly milkweed,Asclepias tuberosa,mound,3-8,7,#d98a3d,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2,,,,#6b5a4a,6-11,moderate,ASTU,Asclepias tuberosa L.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,Yes,No,Mid Summer,Spring and Summer,Summer,Fall,2.0,High,High,Low,Yes,Yes,No,4.8,6.8,yes
lyreleaf-greeneyes,lyreleaf greeneyes,Berlandiera lyrata,mound,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,low,"loamy,clay",,4,,,,#6b5a4a,6-8,light,BELY,Berlandiera lyrata Benth.,Forb/herb,L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Summer,Summer,4.0,High,Medium,Low,No,Yes,Yes,6.5,9.5,yes
