id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,invasive_status_elsewhere
giant-reed,giant reed,Arundo donax,grass,3-11,5,,,#5b7a4b,,,part-sun,high,"loamy,clay",,9,,,,,,,ARDO4,Arundo donax L.,Graminoid,HI:I|L48:I|PB:I|PB:N|PR:I|VI:I,Rhizomatous,Erect,Coarse,Dense,Moderate,No,No,No,No,Late Spring,"Spring, Summer, Fall",,,9.0,Medium,Low,High,No,Yes,Yes,4.8,7.0,Alabama:Category 2; North Carolina:Invasive; Wisconsin:Prohibited
yellow-bluestem-boisi,yellow bluestem,Bothriochloa ischaemum var. ischaemum,grass,6-8,7,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-11,moderate,BOISI,Bothriochloa ischaemum (L.) Keng var. ischaemum,Graminoid,L48:I,Bunch,Semi-Erect,Medium,Porous,Porous,No,No,No,Yes,Mid Summer,Summer,Summer,Fall,3.0,High,Medium,Medium,Yes,Yes,Yes,6.0,8.5,
yellow-bluestem-boiss,yellow bluestem,Bothriochloa ischaemum var. songarica,grass,6-8,6,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,4,,,,#6b5a4a,6-8,light,BOISS,Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan,Graminoid,L48:I|PR:I|VI:I,Bunch,Semi-Erect,Medium,Dense,Porous,No,No,No,No,Early Summer,Summer,Summer,Summer,4.0,High,Medium,Medium,Yes,Yes,Yes,5.5,8.5,
bermudagrass,Bermudagrass,Cynodon dactylon,grass,6-11,4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,1.5,,,,#6b5a4a,6-8,light,CYDA,Cynodon dactylon (L.) Pers.,Graminoid,CAN:W|HI:I|L48:I|PB:I|PR:I|SPM:W|VI:I,Stoloniferous,Prostrate,Medium,Porous,Porous,No,No,No,No,Mid Spring,Summer and Fall,Summer,Summer,1.5,High,Medium,Medium,Yes,Yes,Yes,6.0,8.0,
japanese-privet,Japanese privet,Ligustrum japonicum,vase,3-8,6-8,#f1f1e2,,,,,shade,low,"sandy,loamy,clay",,10,,,,#3a3a34,6-11,heavy,LIJA,Ligustrum japonicum Thunb.,Shrub,L48:I|PR:I,Multiple Stem,Erect,Medium,Dense,Dense,Yes,Yes,Yes,No,Summer,Spring and Summer,Summer,Fall,10.0,Low,Medium,Low,Yes,Yes,Yes,5.5,6.9,Alabama:Category 2; North Carolina:Invasive
european-privet,European privet,Ligustrum vulgare,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,12,,,,#3a3a34,6-11,moderate,LIVU,Ligustrum vulgare L.,Shrub,CAN:I|L48:I,Multiple Stem,Erect,Medium,Dense,Moderate,No,Yes,Yes,No,Mid Spring,Spring and Summer,Summer,Fall,12.0,Medium,Medium,Medium,No,Yes,Yes,5.0,7.5,Connecticut:Potentially Invasive; Delaware:Invasive
japanese-honeysuckle,Japanese honeysuckle,Lonicera japonica,low-climber,3-11,4,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,1,,,,#3a3a34,6-8,light,LOJA,Lonicera japonica Thunb.,Vine,CAN:I|HI:I|L48:I|PR:I,Stoloniferous,Prostrate,Medium,Dense,Moderate,Yes,Yes,Yes,No,Mid Spring,"Spring, Summer, Fall",Summer,Summer,1.0,Low,Medium,Medium,Yes,Yes,Yes,4.9,8.3,"Alabama:Category 1; Connecticut:Invasive/Prohibited; Delaware:Invasive; Missouri:Invasive (DOC, IPC); New York:Prohibited; North Carolina:Invasive; Wisconsin:Prohibited"
amur-honeysuckle,Amur honeysuckle,Lonicera maackii,vase,3-8,5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,16,,,,#b3261e,6-11,moderate,LOMA6,Lonicera maackii (Rupr.) Herder,Shrub,CAN:I|L48:I,Multiple Stem,Semi-Erect,Coarse,Dense,Moderate,No,Yes,Yes,Yes,Late Spring,Spring and Summer,Summer,Fall,16.0,Medium,Low,Medium,Yes,Yes,Yes,6.0,8.0,"Alabama:Category 2; Connecticut:Invasive/Prohibited; Delaware:Invasive; Maryland:Tier 1; Missouri:Invasive (DOC, IPC); New York:Prohibited; North Carolina:Invasive; Wisconsin:Prohibited/Restricted"
chinaberrytree,Chinaberrytree,Melia azedarach,vase,1-12,,#8f6fb3,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,50,,,,#6b5a4a,1-12,heavy,MEAZ,Melia azedarach L.,Shrub,HI:I|L48:I|NAV:I|PB:I|PR:I|VI:I,Single Stem,Irregular,Fine,Dense,Dense,Yes,Yes,Yes,No,Indeterminate,Year Round,Year Round,Year Round,50.0,High,High,Low,Yes,Yes,Yes,4.0,8.0,Alabama:Category 2; North Carolina:Invasive
sacred-bamboo,sacred bamboo,Nandina domestica,vase,3-8,6,#f1f1e2,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,8,,,,#b3261e,6-11,heavy,NADO,Nandina domestica Thunb.,Shrub,L48:I|PB:I,Multiple Stem,Erect,Fine,Moderate,Moderate,Yes,Yes,Yes,No,Early Summer,Spring and Summer,Summer,Fall,8.0,Low,Low,High,Yes,Yes,Yes,4.5,6.0,Alabama:Category 2; Maryland:Tier 2; Missouri:Invasive (DOC); North Carolina:Invasive
