genus,fnct_treated,fnct_page,fnct_heading,fnct_dallas_record,fnct_dallas_evidence,fnct_volume,corpus_mentions,source
Abies,no,,,,,,1,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Acer,yes,219,ACER MAPLE,no,,FNCT_0210-0617-Acanth-Euph.txt,19,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Alnus,yes,439,ALNUS ALDER,no,,FNCT_0210-0617-Acanth-Euph.txt,7,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Amelanchier,yes,938,AMELANCHIER,no,,FNCT_0618-1076-Fab-Zygo.txt,4,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Asclepias,yes,276,"ASCLEPIAS MILKWEED, SILKWEED",yes,"Follicles pendulous; seeds naked, without a coma; leaf blades narrowly lanceolate to lanceolate, to 15(–20) mm wide; mostly in low swampy areas in se and e TX, in nc TX known only from Dallas Co.",FNCT_0210-0617-Acanth-Euph.txt,39,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Astragalus,yes,628,"ASTRAGALUS LOCOWEED, MILK-VETCH",yes,"Rocky or sandy thickets; Cooke, Dallas, and Grayson cos., also Lamar Co.",FNCT_0618-1076-Fab-Zygo.txt,40,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Baccharis,yes,322,BACCHARIS GROUNDSELTREE,yes,"Wet fields, edges of swamps and marshes, along creeks in woods; Dallas, Fannin, Henderson, and Lamar cos., also Hopkins Co.",FNCT_0210-0617-Acanth-Euph.txt,15,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Baileya,no,,,,,,1,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Betula,yes,439,BETULA BIRCH,no,,FNCT_0210-0617-Acanth-Euph.txt,6,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Bidens,yes,325,"BIDENS BEGGAR-TICKS, BUR-MARIGOLD, TICKSEED-SUNFLOWER",yes,"In moist soils; Bell, Dallas, Grayson, and Hopkins cos., also Tarrant Co.",FNCT_0210-0617-Acanth-Euph.txt,20,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Bouteloua,yes,1247,BOUTELOUA GRAMA GRASS,no,,FNCT_1077-1352-Acor-Zanni.txt,31,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Carya,yes,746,"CARYA HICKORY, PECAN",yes,"(Little 1971) on e margin of nc TX, also disjunct w to Dallas Co.",FNCT_0618-1076-Fab-Zygo.txt,39,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Castanea,no,,,,,,5,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Cercis,yes,640,CERCIS,yes,Gray] The National Champion TEXAS REDBUD (largest recorded in the U.S.) is located in Dallas Co.,FNCT_0618-1076-Fab-Zygo.txt,17,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Chrysopsis,yes,334,CHRYSOPSIS GOLDEN-ASTER,no,,FNCT_0210-0617-Acanth-Euph.txt,10,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Chrysothamnus,no,,,,,,0,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Cirsium,yes,338,"CIRSIUM THISTLE, PLUMED THISTLE, TRUE THISTLE",no,,FNCT_0210-0617-Acanth-Euph.txt,24,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Coreopsis,yes,341,"COREOPSIS GOLDEN-WAVE, TICKSEED, COREOPSIS",yes,"Apparently planted and spreading along highways; Cooke, Dallas, Grayson, Tarrant, and Williamson cos., also Somervell Co.",FNCT_0210-0617-Acanth-Euph.txt,17,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Cornus,yes,560,"CORNUS DOGWOOD, CORNEL",yes,Stillwell from one Dallas locality (Mahler 1988); common in sandy woods in e TX to the e of nc TX; mainly e and c TX.,FNCT_0210-0617-Acanth-Euph.txt,17,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Corylus,no,,,,,,3,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Crataegus,yes,940,"CRATAEGUS HAWTHORN, REDHAW, THORN, THORN-APPLE",yes,"brazoria Sarg.], known from Dallas and Ellis cos., will key to C.",FNCT_0618-1076-Fab-Zygo.txt,30,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Dalea,yes,644,DALEA PRAIRIE-CLOVER,yes,"Dallas, Fannin, Grayson, Hopkins, and Lamar cos., also Denton Co.",FNCT_0618-1076-Fab-Zygo.txt,55,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Ericameria,no,,,,,,0,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Erigeron,yes,348,"ERIGERON FLEABANE, DAISY FLEABANE, DAISY",yes,"Sandy prairies; Archer, Clay, Dallas, Falls, Palo Pinto, and Young cos.; se TX w to Edwards Plateau and n to nc TX and Rolling Plains.",FNCT_0210-0617-Acanth-Euph.txt,21,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Fraxinus,yes,848,FRAXINUS ASH,no,,FNCT_0618-1076-Fab-Zygo.txt,18,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Gaillardia,yes,358,"GAILLARDIA INDIAN-BLANKET, BLANKET-FLOWER",no,,FNCT_0210-0617-Acanth-Euph.txt,15,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Gonolobus,no,,,,,,3,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Grindelia,yes,360,"GRINDELIA GUMWEED, TARWEED, ROSINWEED, GUMPLANT",no,,FNCT_0210-0617-Acanth-Euph.txt,23,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Gutierrezia,yes,362,"GUTIERREZIA BROOMWEED, SNAKEWEED",no,,FNCT_0210-0617-Acanth-Euph.txt,24,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Helenium,yes,365,"HELENIUM SNEEZEWEED, BITTERWEED",yes,Dallas and Grayson cos.,FNCT_0210-0617-Acanth-Euph.txt,17,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Helianthus,yes,368,HELIANTHUS SUNFLOWER,yes,Sandy or rocky prairies; Dallas and McLennan cos.,FNCT_0210-0617-Acanth-Euph.txt,44,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Heliomeris,no,,,,,,0,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Heliopsis,no,,,,,,0,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Heterotheca,yes,372,"HETEROTHECA GOLDEN-ASTER, GOLD-ASTER, CAMPHORWEED",yes,(Semple 1996) and collected at Dallas by Reverchon.,FNCT_0210-0617-Acanth-Euph.txt,14,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Ilex,yes,268,ILEX HOLLY,yes,"Rock outcrops, ravines, and disturbed areas; se and e TX w to Bell, Dallas (Lundell 1961), and Grayson cos., also Comanche (Little 1976 [1977]), Parker (R.",FNCT_0210-0617-Acanth-Euph.txt,14,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Isocoma,no,,,,,,0,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Juglans,yes,748,"JUGLANS WALNUT, NOGAL",no,,FNCT_0618-1076-Fab-Zygo.txt,15,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Larix,no,,,,,,0,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Machaeranthera,yes,387,MACHAERANTHERA,no,,FNCT_0210-0617-Acanth-Euph.txt,9,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Malus,no,,,,,,2,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Malvaviscus,yes,814,MALVAVISCUS TURK’S-CAP,yes,"(Turner & Mendenhall 1993), also escaped in Dallas Co.",FNCT_0618-1076-Fab-Zygo.txt,6,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Matelea,yes,62,MATELEA EDWARDSENSIS,no,,FNCT_0001-0108-FrontMatter-Intro.txt,20,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Oenothera,yes,862,"OENOTHERA EVENING-PRIMROSE, SUNDROPS",yes,Open sandy areas; Dallas and Limestone cos.,FNCT_0618-1076-Fab-Zygo.txt,46,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Packera,yes,388,"PACKERA RAGWORT, GROUNDSEL, BUTTERWEED",no,,FNCT_0210-0617-Acanth-Euph.txt,11,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Passiflora,yes,62,PASSIFLORA TENUILOBA,no,,FNCT_0001-0108-FrontMatter-Intro.txt,23,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Picea,no,,,,,,2,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Pinus,yes,204,PINUS PINE,no,,FNCT_0109-0209-Keys-Ferns-Gymnos.txt,18,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Populus,yes,974,"POPULUS COTTONWOOD, ÁLAMO, POPLAR, ASPEN",yes,"Commonly cultivated, persists, and spreads veg- etatively; in some instances its aggressive spread can be problematic; Grayson Co., also Erath, Lamar (Correll 1961b), Dallas, and Tarrant (R.",FNCT_0618-1076-Fab-Zygo.txt,16,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Prunus,yes,947,"PRUNUS CHERRY, PEACH, PLUM",yes,"Low areas; cultivated more in the past than at present, escap- ing; Grayson and Tarrant cos., also Dallas Co.",FNCT_0618-1076-Fab-Zygo.txt,35,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Pseudotsuga,no,,,,,,1,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Quercus,yes,711,QUERCUS OAK,yes,Stream bottom woods; once collected in Dallas Co.,FNCT_0618-1076-Fab-Zygo.txt,77,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Ratibida,yes,400,RATIBIDA MEXICAN-HAT,no,,FNCT_0210-0617-Acanth-Euph.txt,8,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Rosa,yes,954,ROSA ROSE,yes,"Cultivated and escapes, weedy areas; Dallas Co., also Fort Hood (Bell or Coryell cos.—Sanchez 1997); mainly e TX.",FNCT_0618-1076-Fab-Zygo.txt,28,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Rubus,yes,958,"RUBUS DEWBERRY, BLACKBERRY, BRAMBLE",no,,FNCT_0618-1076-Fab-Zygo.txt,20,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Rudbeckia,yes,400,"RUDBECKIA CONEFLOWER, BROWN-EYED-SUSAN",no,,FNCT_0210-0617-Acanth-Euph.txt,15,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Salix,yes,976,"SALIX WILLOW, OSIER, SALLOW",no,,FNCT_0618-1076-Fab-Zygo.txt,24,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Schizachyrium,yes,1316,SCHIZACHYRIUM BLUESTEM,no,,FNCT_1077-1352-Acor-Zanni.txt,18,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Senecio,yes,403,"SENECIO RAGWORT, SQUAW-WEED, GROUNDSEL",yes,"Sandy open woods, fields, roadsides; Burnet, Callahan, Comanche, Dallas, and Denton cos.; se and e TX w to West Cross Timbers and Edwards Plateau; endemic to TX.",FNCT_0210-0617-Acanth-Euph.txt,24,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Solidago,yes,408,SOLIDAGO GOLDENROD,yes,"Hopkins, Kaufman, Lamar, and Montague cos., also Dallas Co.",FNCT_0210-0617-Acanth-Euph.txt,46,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Sorghastrum,yes,1320,SORGHASTRUM INDIAN GRASS,yes,"(Talbot property), also col- lected by Reverchon in Dallas Co.",FNCT_1077-1352-Acor-Zanni.txt,21,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Symphyotrichum,no,,,,,,9,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Tilia,yes,1036,"TILIA BASSWOOD, LINDEN, LIME",no,,FNCT_0618-1076-Fab-Zygo.txt,4,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Tsuga,no,,,,,,1,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Ulmus,yes,1038,ULMUS ELM,yes,Cultivated and rarely escapes; Dallas Co.,FNCT_0618-1076-Fab-Zygo.txt,25,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Vaccinium,yes,584,VACCINIUM BLUEBERRY,no,,FNCT_0210-0617-Acanth-Euph.txt,8,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Verbesina,yes,426,"VERBESINA CROWN-BEARD, FLAT-SEED-SUNFLOWER, WINGSTEM",yes,"Heads usually many, (10–)20–100 per plant; phyllaries few, soon deflexed (= bent down- ward); ray flowers 2–10, the ligules drooping; achenes spreading in all directions forming globose heads, some achenes deflexed; known in nc TX only from Dallas and Grayson cos.",FNCT_0210-0617-Acanth-Euph.txt,21,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Vernonia,yes,427,VERNONIA IRONWEED,yes,Limestone out- crops; Dallas and Tarrant cos.,FNCT_0210-0617-Acanth-Euph.txt,22,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
Vitis,yes,1068,VITIS GRAPE,yes,"Dallas, Henderson, and Limestone cos., also Hood Co.",FNCT_0618-1076-Fab-Zygo.txt,34,"Diggs, Lipscomb & O'Kennon 1999, Shinners & Mahler's Illustrated Flora of North Central Texas"
