section,family,plant,plant_genus,lep_common,lep_species,species_verbatim,name_inferred,grouping_note,fnct_page,source
butterflies,CUPRESSACEAE,Juniperus ashei,Juniperus,OLIVE-GREEN HAIRSTREAK,Callophrys gryneus,Callophrys gryneus,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Juniperus ashei,Juniperus,SACHEM,Atalapodes campestris,Atalapodes campestris,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Poa pratensis,Poa,LEAST SKIPPER,Ancyoloxphya numitor,Ancyoloxphya numitor,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Poa pratensis,Poa,FIERY SKIPPER,Hylephila phyleus,Hylephila phyleus,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Poa pratensis,Poa,ROADSIDE SKIPPER,Amblyscirtes vialis,Amblyscirtes vialis,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Poa pratensis,Poa,WHIRLABOUT,Polites vibex,Polites vibex,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Chasmanthium latifolium,Chasmanthium,BELL’S ROADSIDE SKIPPER,Amblyscirtes belli,Amblyscirtes belli,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Phragmites australis,Phragmites,BROADWING SKIPPER,Poanes viator,Poanes viator,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Tridens spp.,Tridens,COMMON WOOD NYMPH,Cercyonis pegala,Cercyonis pegala,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Nassella spp.,Nassella,COMMON WOOD NYMPH,Cercyonis pegala,Cercyonis pegala,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Eleusine spp.,Eleusine,SACHEM,Atalapodes campestris,Atalapodes campestris,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Cynodon dactylon,Cynodon,JULIA’S SKIPPER,Nastra lherminier,Nastra lherminier,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Cynodon dactylon,Cynodon,ORANGE SKIPPERLING,Copaeodes aurantiacus,Copaeodes aurantiacus,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Cynodon dactylon,Cynodon,SOUTHERN SKIPPERLING,Copaeodes minimus,Copaeodes minimus,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Cynodon dactylon,Cynodon,WHIRLABOUT,Polites vibex,Polites vibex,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Cynodon dactylon,Cynodon,SACHEM,Atalapodes campestris,Atalapodes campestris,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Cynodon dactylon,Cynodon,EUFALA SKIPPER,Lerodea eufala,Lerodea eufala,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Bouteloua curtipendula,Bouteloua,ORANGE SKIPPERLING,Copaeodes aurantiacus,Copaeodes aurantiacus,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
butterflies,CUPRESSACEAE,Bouteloua gracilis,Bouteloua,GREEN SKIPPER,Hesperia viridis,Hesperia viridis,,,1394,"Diggs, Lipscomb & O'Kennon 1999, Appendix Ten (Larval Host Plants of Lepidoptera of North Central Texas, compiled by JoAnn Karges)"
