genus,species,rank,infra_epithet,scientific_name,common_names,fnct_page,source
Abelmoschus,esculentus,species,,Abelmoschus esculentus,Okra; Gumbo; Gobo; Gombo; Lady’s-Finger; Bandakai; Gobbo,806,"Diggs, Lipscomb & O'Kennon 1999, p. 806"
Abronia,ameliae,species,,Abronia ameliae,Amelia’s Sand-Verbena,836,"Diggs, Lipscomb & O'Kennon 1999, p. 836"
Abronia,fragrans,species,,Abronia fragrans,Sand-Verbena; Sweet Sand-Verbena; Snowball; Lasater’s-Pride,836,"Diggs, Lipscomb & O'Kennon 1999, p. 836"
Abutilon,fruticosum,species,,Abutilon fruticosum,Indian-Mallow; Pelotazo,806,"Diggs, Lipscomb & O'Kennon 1999, p. 806"
Abutilon,theophrasti,species,,Abutilon theophrasti,Indian-Mallow; Velvet-Leaf Butterprint; Chingma,806,"Diggs, Lipscomb & O'Kennon 1999, p. 806"
Acacia,angustissima,variety,hirta,Acacia angustissima var. hirta,Fern Acacia; Prairie Acacia; White-Ball Acacia,624,"Diggs, Lipscomb & O'Kennon 1999, p. 624"
Acacia,farnesiana,species,,Acacia farnesiana,Huisache; Sweet Acacia,624,"Diggs, Lipscomb & O'Kennon 1999, p. 624"
Acacia,greggii,species,,Acacia greggii,,624,"Diggs, Lipscomb & O'Kennon 1999, p. 624"
Acacia,greggii,variety,greggii,Acacia greggii var. greggii,Catclaw; Catclaw Acacia; Devil’s-Claw,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Acacia,greggii,variety,wrightii,Acacia greggii var. wrightii,Catclaw; Wright’s Acacia; Joint-Vetch; Uña De Gato; Huisachillo,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Acacia,roemeriana,species,,Acacia roemeriana,Roemer’s Acacia; Catclaw,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Acalypha,gracilens,species,,Acalypha gracilens,Slender Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,monococca,species,,Acalypha monococca,Slender Oneseed Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,ostryifolia,species,,Acalypha ostryifolia,Hop-Hornbeam Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,phleoides,species,,Acalypha phleoides,Lindheimer’s Copperleaf,588,"Diggs, Lipscomb & O'Kennon 1999, p. 588"
Acalypha,radians,species,,Acalypha radians,Round -Croton; Yerba De La Rabia,589,"Diggs, Lipscomb & O'Kennon 1999, p. 589"
Acalypha,rhomboidea,species,,Acalypha rhomboidea,Rhomboid Copperleaf,589,"Diggs, Lipscomb & O'Kennon 1999, p. 589"
Acalypha,virginica,species,,Acalypha virginica,Virginia Copperleaf,589,"Diggs, Lipscomb & O'Kennon 1999, p. 589"
Acer,grandidentatum,variety,sinuosum,Acer grandidentatum var. sinuosum,Plateau Big-Tooth Maple; Uvalde Big-Tooth Maple; Limerock Maple,219,"Diggs, Lipscomb & O'Kennon 1999, p. 219"
Acer,negundo,species,,Acer negundo,Box-Elder; Ash-Leaf Maple; Arce; Fresno De Guajuco,219,"Diggs, Lipscomb & O'Kennon 1999, p. 219"
Acer,negundo,variety,texanum,Acer negundo var. texanum,Texas Box-Elder,220,"Diggs, Lipscomb & O'Kennon 1999, p. 220"
Acer,rubrum,species,,Acer rubrum,Red Maple; Scarlet Maple,220,"Diggs, Lipscomb & O'Kennon 1999, p. 220"
Acer,saccharinum,species,,Acer saccharinum,Silver Maple; Soft Maple,220,"Diggs, Lipscomb & O'Kennon 1999, p. 220"
Achillea,millefolium,species,,Achillea millefolium,Milfoil; Western Yarrow; Common Yarrow,308,"Diggs, Lipscomb & O'Kennon 1999, p. 308"
Acleisanthes,longiflora,species,,Acleisanthes longiflora,Angel-Trumpets; Yerba-De-La-Rabia,836,"Diggs, Lipscomb & O'Kennon 1999, p. 836"
Acmella,oppositifolia,variety,repens,Acmella oppositifolia var. repens,Creeping Spotflower,308,"Diggs, Lipscomb & O'Kennon 1999, p. 308"
Acorus,calamus,species,,Acorus calamus,Sweetflag; Calamus,1077,"Diggs, Lipscomb & O'Kennon 1999, p. 1077"
Adiantum,capillus-veneris,species,,Adiantum capillus-veneris,Venus ’-Hair Fern; Southern Maidenhair; Culantrillo,194,"Diggs, Lipscomb & O'Kennon 1999, p. 194"
Adonis,annua,species,,Adonis annua,Pheasant’s-Eye,917,"Diggs, Lipscomb & O'Kennon 1999, p. 917"
Aegilops,cylindrica,species,,Aegilops cylindrica,Jointed Goat Grass,1235,"Diggs, Lipscomb & O'Kennon 1999, p. 1235"
Aesculus,arguta,species,,Aesculus arguta,White Buckeye; Texas Buckeye; Western Buckeye,738,"Diggs, Lipscomb & O'Kennon 1999, p. 738"
Aesculus,pavia,variety,flavescens,Aesculus pavia var. flavescens,,738,"Diggs, Lipscomb & O'Kennon 1999, p. 738"
Aesculus,pavia,variety,pavia,Aesculus pavia var. pavia,Red Buckeye; Scarlet Buckeye; Firecracker-Plant,738,"Diggs, Lipscomb & O'Kennon 1999, p. 738"
Agalinis,aspera,species,,Agalinis aspera,,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,auriculata,species,,Agalinis auriculata,Ear-Leaf Gerardia; Eared False Foxglove,992,"Diggs, Lipscomb & O'Kennon 1999, p. 992"
Agalinis,densiflora,species,,Agalinis densiflora,Fine-Leaf Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,edwardsiana,species,,Agalinis edwardsiana,Plateau Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,fasciculata,species,,Agalinis fasciculata,Beach Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,gattingeri,species,,Agalinis gattingeri,Gattinger's Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,heterophylla,species,,Agalinis heterophylla,Prairie Agalinis,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,homalantha,species,,Agalinis homalantha,Flat-Flower Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agalinis,tenuifolia,variety,leucanthera,Agalinis tenuifolia var. leucanthera,Slender Gerardia,993,"Diggs, Lipscomb & O'Kennon 1999, p. 993"
Agave,americana,species,,Agave americana,,1080,"Diggs, Lipscomb & O'Kennon 1999, p. 1080"
Agrimonia,microcarpa,species,,Agrimonia microcarpa,Slender Groovebur; Small-Fruit Agrimony,938,"Diggs, Lipscomb & O'Kennon 1999, p. 938"
Agrimonia,parviflora,species,,Agrimonia parviflora,Many-Flower Groovebur; Many-Flower Agrimony,938,"Diggs, Lipscomb & O'Kennon 1999, p. 938"
Agrimonia,rostellata,species,,Agrimonia rostellata,Woodland Groovebur; Woodland Agrimony,938,"Diggs, Lipscomb & O'Kennon 1999, p. 938"
Agrostemma,githago,species,,Agrostemma githago,Common Corn-Cockle,513,"Diggs, Lipscomb & O'Kennon 1999, p. 513"
Agrostis,elliottiana,species,,Agrostis elliottiana,Elliott’s Bent Grass; Annual Tickle Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Agrostis,hyemalis,species,,Agrostis hyemalis,Tickle Grass; Spring Bent Grass; Winter Bent Grass; Fly-Away Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Agrostis,perennans,species,,Agrostis perennans,Autumn Bent Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Ailanthus,altissima,species,,Ailanthus altissima,Tree-Of-Heaven; Copaltree; Smoketree,1015,"Diggs, Lipscomb & O'Kennon 1999, p. 1015"
Aira,caryophyllea,variety,capillaris,Aira caryophyllea var. capillaris,Annual Hair Grass,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Aira,caryophyllea,variety,caryophyllea,Aira caryophyllea var. caryophyllea,,1236,"Diggs, Lipscomb & O'Kennon 1999, p. 1236"
Ajuga,reptans,species,,Ajuga reptans,Carpet Ajuga; Bugle; Bugleweed,755,"Diggs, Lipscomb & O'Kennon 1999, p. 755"
Albizia,julibrissin,species,,Albizia julibrissin,Mimosa; Silktree,625,"Diggs, Lipscomb & O'Kennon 1999, p. 625"
Alcea,rosea,species,,Alcea rosea,Hollyhock; Amapola Grande,807,"Diggs, Lipscomb & O'Kennon 1999, p. 807"
Aletris,aurea,species,,Aletris aurea,Yellow Star-Grass,1194,"Diggs, Lipscomb & O'Kennon 1999, p. 1194"
Alisma,subcordatum,species,,Alisma subcordatum,Water-Plantain; Small-Flower Water-Plantain; Mud-Plantain,1086,"Diggs, Lipscomb & O'Kennon 1999, p. 1086"
Allium,ampeloprasum,species,,Allium ampeloprasum,Wild Leek,1196,"Diggs, Lipscomb & O'Kennon 1999, p. 1196"
Allium,canadense,species,,Allium canadense,Wild Onion,1196,"Diggs, Lipscomb & O'Kennon 1999, p. 1196"
Allium,canadense,variety,ecristatum,Allium canadense var. ecristatum,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,canadense,variety,fraseri,Allium canadense var. fraseri,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
Allium,canadense,variety,hyacinthoides,Allium canadense var. hyacinthoides,,1197,"Diggs, Lipscomb & O'Kennon 1999, p. 1197"
