genus,species,common_name,source
Melia,azedarach,Chinaberry,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Ligustrum,,Privet (Chinese/Glossy/Japanese),"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Nandina,domestica,Nandina,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Triadica,sebifera,Chinese Tallow,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Ailanthus,altissima,Tree-of-Heaven,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Broussonetia,papyrifera,Paper Mulberry,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Morus,alba,White Mulberry,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Pyrus,calleryana,Callery Pear (Bradford Pear),"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Albizia,julibrissin,Mimosa (Silk Tree),"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Firmiana,simplex,Chinese Parasoltree,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
Pistacia,chinensis,Chinese Pistache,"Texas A&M Forest Service, Invasive Plants in North Texas (tfsweb.tamu.edu), fetched 2026-09-21"
