place,animal_species,animal_common,iconic_taxon,nearest_radius_mi,observation_count,fetched_on,source
home,Acris blanchardi,Blanchard's Cricket Frog,Amphibia,3,3,2026-09-02,api.inaturalist.org species_counts
home,Acris gryllus,Southern Cricket Frog,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Agalychnis callidryas,Red-eyed Tree Frog,Amphibia,8,2,2026-09-02,api.inaturalist.org species_counts
home,Ambystoma mexicanum,Axolotl,Amphibia,3,1,2026-09-02,api.inaturalist.org species_counts
home,Ambystoma opacum,Marbled Salamander,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Ambystoma texanum,Small-mouthed Salamander,Amphibia,8,2,2026-09-02,api.inaturalist.org species_counts
home,Anaxyrus americanus,American Toad,Amphibia,15,3,2026-09-02,api.inaturalist.org species_counts
home,Anaxyrus fowleri,Fowler's Toad,Amphibia,15,2,2026-09-02,api.inaturalist.org species_counts
home,Anaxyrus punctatus,Red-spotted Toad,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Anaxyrus woodhousii,Woodhouse's Toad,Amphibia,3,3,2026-09-02,api.inaturalist.org species_counts
home,Atelopus zeteki,Panamanian Golden Frog,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Centrolenidae,Glass Frogs,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Ceratophrys,South American Horned Frogs,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Cryptobranchus alleganiensis,Hellbender,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Dendrobates auratus,Green-and-black Poison Dart Frog,Amphibia,8,5,2026-09-02,api.inaturalist.org species_counts
home,Dendrobates leucomelas,Yellow-headed Poison Dart Frog,Amphibia,8,6,2026-09-02,api.inaturalist.org species_counts
home,Dendrobates tinctorius,Dyeing Poison Dart Frog,Amphibia,8,10,2026-09-02,api.inaturalist.org species_counts
home,Dryophytes chrysoscelis,Cope's Gray Tree Frog,Amphibia,25,2,2026-09-02,api.inaturalist.org species_counts
home,Dryophytes cinereus,Green Treefrog,Amphibia,3,5,2026-09-02,api.inaturalist.org species_counts
home,Dryophytes squirellus,Squirrel Tree Frog,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Dryophytes versicolor,Gray Treefrog,Amphibia,8,2,2026-09-02,api.inaturalist.org species_counts
home,Dyscophus,Tomato Frogs,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Eleutherodactylus campi,Rio Grande Chirping Frog,Amphibia,3,7,2026-09-02,api.inaturalist.org species_counts
home,Eleutherodactylus cystignathoides,Lowland Chirping Frog,Amphibia,25,1,2026-09-02,api.inaturalist.org species_counts
home,Eurycea rathbuni,Texas Blind Salamander,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Gastrophryne carolinensis,Eastern Narrow-mouthed Toad,Amphibia,15,9,2026-09-02,api.inaturalist.org species_counts
home,Gastrophryne olivacea,Western Narrow-mouthed Toad,Amphibia,8,2,2026-09-02,api.inaturalist.org species_counts
home,Incilius alvarius,Sonoran Desert Toad,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Incilius nebulifer,Gulf Coast Toad,Amphibia,1,4,2026-09-02,api.inaturalist.org species_counts
home,Lithobates berlandieri,Rio Grande Leopard Frog,Amphibia,3,1,2026-09-02,api.inaturalist.org species_counts
home,Lithobates blairi,Plains Leopard Frog,Amphibia,25,1,2026-09-02,api.inaturalist.org species_counts
home,Lithobates catesbeianus,American Bullfrog,Amphibia,3,5,2026-09-02,api.inaturalist.org species_counts
home,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,3,1,2026-09-02,api.inaturalist.org species_counts
home,Notophthalmus meridionalis,Black-spotted Newt,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Oophaga,,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Oophaga anchicayensis,Anchicaya Poison Dart Frog,Amphibia,25,1,2026-09-02,api.inaturalist.org species_counts
home,Oophaga andresi,cocorro,Amphibia,25,1,2026-09-02,api.inaturalist.org species_counts
home,Oophaga histrionica,Harlequin Poison Frog,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Oophaga lehmanni,Red-banded Poison Frog,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Oophaga solanensis,Chocó Poison Dart Frog,Amphibia,25,1,2026-09-02,api.inaturalist.org species_counts
home,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,8,2,2026-09-02,api.inaturalist.org species_counts
home,Phyllobates,,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Phyllobates terribilis,Golden Poison Dart Frog,Amphibia,15,1,2026-09-02,api.inaturalist.org species_counts
home,Phyllomedusa boliviana,Red-rimmed Monkey Tree Frog,Amphibia,3,1,2026-09-02,api.inaturalist.org species_counts
home,Pipa pipa,Suriname Toad,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Pseudacris clarkii,Spotted Chorus Frog,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Pseudacris streckeri,Strecker's Chorus Frog,Amphibia,8,1,2026-09-02,api.inaturalist.org species_counts
home,Ranitomeya fantastica,Red-headed Poison Frog,Amphibia,3,1,2026-09-02,api.inaturalist.org species_counts
home,Siren nettingi,Western Lesser Siren,Amphibia,15,11,2026-09-02,api.inaturalist.org species_counts
home,Telmatobius culeus,Titicaca Water Frog,Amphibia,25,2,2026-09-02,api.inaturalist.org species_counts
home,Accipiter striatus,Sharp-shinned Hawk,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Actitis macularius,Spotted Sandpiper,Aves,8,260,2026-09-02,api.inaturalist.org species_counts
home,Agelaius phoeniceus,Red-winged Blackbird,Aves,3,5,2026-09-02,api.inaturalist.org species_counts
home,Aix sponsa,Wood Duck,Aves,3,94,2026-09-02,api.inaturalist.org species_counts
home,Alopochen aegyptiaca,Egyptian Goose,Aves,8,14,2026-09-02,api.inaturalist.org species_counts
home,Ammodramus savannarum,Grasshopper Sparrow,Aves,3,16,2026-09-02,api.inaturalist.org species_counts
home,Ammospiza leconteii,LeConte's Sparrow,Aves,8,13,2026-09-02,api.inaturalist.org species_counts
home,Anas acuta,Northern Pintail,Aves,8,118,2026-09-02,api.inaturalist.org species_counts
home,Anas crecca,Green-winged Teal,Aves,8,42,2026-09-02,api.inaturalist.org species_counts
home,Anas platyrhynchos,Mallard,Aves,3,399,2026-09-02,api.inaturalist.org species_counts
home,Anas platyrhynchos × Cairina moschata,Mallard × Muscovy Duck,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Anas rubripes,American Black Duck,Aves,8,24,2026-09-02,api.inaturalist.org species_counts
home,Anhinga anhinga,Anhinga,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Anser albifrons,Greater White-fronted Goose,Aves,25,44,2026-09-02,api.inaturalist.org species_counts
home,Anser anser,Greylag Goose,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Anser anser × cygnoides,Greylag × Swan Goose,Aves,3,2,2026-09-02,api.inaturalist.org species_counts
home,Anser caerulescens,Snow Goose,Aves,8,13,2026-09-02,api.inaturalist.org species_counts
home,Anser cygnoides,Swan Goose,Aves,3,16,2026-09-02,api.inaturalist.org species_counts
home,Anser rossii,Ross's Goose,Aves,8,12,2026-09-02,api.inaturalist.org species_counts
home,Anthus rubescens,American Pipit,Aves,25,57,2026-09-02,api.inaturalist.org species_counts
home,Antrostomus carolinensis,Chuck-will's-widow,Aves,15,25,2026-09-02,api.inaturalist.org species_counts
home,Antrostomus vociferus,Eastern Whip-poor-will,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Aptenodytes patagonicus,King Penguin,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Aramus guarauna,Limpkin,Aves,8,13,2026-09-02,api.inaturalist.org species_counts
home,Archilochus alexandri,Black-chinned Hummingbird,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
home,Archilochus colubris,Ruby-throated Hummingbird,Aves,3,4,2026-09-02,api.inaturalist.org species_counts
home,Ardea alba,Great Egret,Aves,3,76,2026-09-02,api.inaturalist.org species_counts
home,Ardea herodias,Great Blue Heron,Aves,1,2,2026-09-02,api.inaturalist.org species_counts
home,Ardea ibis,Western Cattle-Egret,Aves,3,2,2026-09-02,api.inaturalist.org species_counts
home,Astur cooperii,Cooper's Hawk,Aves,1,1,2026-09-02,api.inaturalist.org species_counts
home,Aythya affinis,Lesser Scaup,Aves,3,7,2026-09-02,api.inaturalist.org species_counts
home,Aythya americana,Redhead,Aves,8,19,2026-09-02,api.inaturalist.org species_counts
home,Aythya collaris,Ring-necked Duck,Aves,3,3,2026-09-02,api.inaturalist.org species_counts
home,Aythya marila,Greater Scaup,Aves,25,84,2026-09-02,api.inaturalist.org species_counts
home,Aythya valisineria,Canvasback,Aves,8,11,2026-09-02,api.inaturalist.org species_counts
home,Baeolophus atricristatus,Black-crested Titmouse,Aves,3,1,2026-09-02,api.inaturalist.org species_counts
