id,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,fruit_color,inflorescence,flower_count_hint,flower_zone,source
native-passionflower,#b38fe0,#6fa06a,#4f7c55,#b0a45f,#6b5a4a,#d8983d,umbel/head,15,mid-upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
yaupon-holly,#f1f1e2,#6c8a56,#5b7a4b,#6a7f58,#5a6c52,#b3261e,umbel/head,200,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
beautyberry,#b58ad2,#73b567,#5f9c57,#d2a84f,#8b7255,#b245cc,umbel/head,30,mid,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
coralberry,#c982b1,#6fa05f,#5c7f52,#b98552,#866b52,#c45f9b,umbel/head,40,mid,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
fragrant-sumac,#d6c24f,#78b15c,#5a874d,#c75532,#7a5a40,#b83c2b,umbel/head,20,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
pink-turks-cap,#e08fb5,#6fa45f,#5b8c52,#74a25f,#6a7a55,#cf4f4f,scatter,25,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
frostweed,#f2f2ea,#71ac6d,#4f7f5a,#7c9c6a,#7a705f,none,panicle/spray,30,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
giant-ironweed,#7a35b3,#6f9a5f,#4f7050,#8a654f,#755a4f,none,panicle/spray,40,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
coral-honeysuckle,#d8522b,#5f8c72,#4c705f,#4c705f,#4f5f50,#d94429,spike/raceme,60,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
carex-blanda,#c2c29c,#70a86b,#568c55,#788c6a,#6f6a55,none,panicle/spray,20,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
horseherb,#d8c54f,#6fa45f,#5f8c55,#7a8c6a,#6a6a55,none,scatter,15,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
winecup,#c02763,#5f8c5a,#6f8c78,#7c6a5f,#6a5f55,none,umbel/head,20,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
golden-groundsel,#e6c844,#4f7c55,#5f8c62,#708c6a,#5a6b58,none,umbel/head,30,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
blackfoot-daisy,#f2f2e6,#7d9a86,#708c7a,#8c8a70,#7a7a68,none,umbel/head,25,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
four-nerve-daisy,#e8c941,#6f8c64,#6f8c64,#7a7a64,#707058,none,umbel/head,15,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
bouvardia,#e03527,#6fa46a,#5e8c58,#7a8c6a,#6a6a55,#d83928,umbel/head,40,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
arrowwood-viburnum,#ffffff,#6fa46a,#5b8c55,#a88f5f,#6a6a55,#3b5bb2,umbel/head,80,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
dwarf-yaupon-holly,#f1f1e2,#6d8a56,#5c7a4b,#6a7f58,#5a6c52,#b3261e,umbel/head,80,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
rock-rose,#e86a8c,#6fa46a,#5e8c55,#7a8c6a,#6a6a55,#a35c4a,scatter,40,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
GM,#98b8ff,#5f8c72,#4c705f,#6a6f57,#6a6f57,#7fb3d5,flat-topped corymb,40,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
canada-wildrye,#c2b98c,#7aa86b,#5f8c55,#b8a86a,#8a7f5f,none,spike/raceme,40,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
sideoats-grama,#c08a6a,#7aa86b,#5f8c55,#c2a05f,#8a7a5a,none,spike/raceme,50,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
indiangrass,#d8a63d,#6f9a63,#54804f,#c99a4a,#8a7550,none,panicle/spray,60,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
nuttall-sensitive-briar,#e07aa8,#6fa06a,#5b8c55,#8a8c5f,#6a6a50,#6b5a4a,umbel/head,25,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
mealy-blue-sage,#6a7fc4,#6fa06a,#57805a,#7a8c68,#6a6f58,none,spike/raceme,45,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
aromatic-aster,#8f7fc4,#6fa06a,#557f52,#8a8a62,#6a6a55,none,umbel/head,80,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
butterfly-milkweed,#e8802b,#6fa06a,#57805a,#a8985f,#6a6050,#7a6a4f,umbel/head,35,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
green-milkweed,#c8d09a,#6fa06a,#5b8c55,#9a9a62,#6a6a55,#7a6a4f,umbel/head,20,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
antelope-horns,#c2cc95,#7aa06a,#628c62,#96966a,#6f6f5a,#7a6a4f,umbel/head,20,mid,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
flame-acanthus,#e0512b,#7aa86b,#5f8c55,#9a9a5f,#7a6f55,#7a6a4f,scatter,60,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
narrowleaf-coneflower,#c98ab5,#6fa06a,#57805a,#8a8a62,#6a6a55,#6b5a4a,umbel/head,12,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
western-yarrow,#f1f1e2,#7aa86b,#5f8c55,#8a8c68,#6f7258,none,umbel/head,60,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
little-bluestem,#c2a87a,#7a9a7a,#5f8c6a,#c2703d,#a8734a,none,spike/raceme,50,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
undaunted-ruby-muhly,#c46a8c,#7aa86b,#5f8c55,#b8956a,#8a7a5f,none,panicle/spray,70,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
chile-pequin,#f2f2e6,#6fa06a,#4f7c55,#6a8c5f,#5f6f52,#d62f22,scatter,25,mid,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
