id,botanical_name,x_ft,y_ft
beautyberry-east,Callicarpa americana,13.646,16.273
turkscap-shade,Malvaviscus arboreus var. drummondii,6.732,11.391
turkscap-kitchen,Malvaviscus arboreus var. drummondii,6.401,8.505
frostweed-drift,Verbesina virginica,15.319,18.099
honeysuckle-obelisk,Lonicera sempervirens,3.019,3.707
passionflower-trellis,Passiflora incarnata,5.237,9.776
carex-glade,Carex blanda,5.111,12.836
carex-glade2,Carex blanda,3.799,13.952
carex-glade3,Carex blanda,7.058,16.891
carex-glade4,Carex blanda,3.494,7.778
carex-glade5,Carex blanda,5.288,5.545
carex-glade6,Carex blanda,6.920,3.520
horseherb-carpet,Calyptocarpus vialis,4.101,14.061
horseherb-carpet2,Calyptocarpus vialis,15.859,16.321
horseherb-carpet3,Calyptocarpus vialis,2.998,4.701
horseherb-carpet4,Calyptocarpus vialis,4.715,16.705
horseherb-carpet5,Calyptocarpus vialis,4.790,14.385
horseherb-carpet6,Calyptocarpus vialis,8.389,16.821
horseherb-carpet7,Calyptocarpus vialis,7.781,14.652
winecup-edge,Callirhoe involucrata,8.051,13.348
winecup-edge2,Callirhoe involucrata,12.803,14.503
winecup-edge3,Callirhoe involucrata,6.603,7.907
winecup-edge4,Callirhoe involucrata,9.790,14.094
groundsel-drift,Packera obovata,7.032,11.248
four-nerve-daisy-front,Tetraneuris scaposa,4.643,6.856
four-nerve-daisy-front,Tetraneuris scaposa,4.716,10.928
yaupon,Ilex vomitoria,6.562,13.002
bouvardia,Bouvardia ternifolia,5.607,4.088
horseherb-carpet3-copy,Calyptocarpus vialis,4.570,3.906
horseherb-carpet3-copy-copy,Calyptocarpus vialis,4.761,3.403
carex-glade6-copy,Carex blanda,3.729,6.361
winecup-edge3-copy,Callirhoe involucrata,5.085,3.368
horseherb-carpet3-copy-copy-2,Calyptocarpus vialis,5.670,4.566
winecup-edge3-copy-copy,Callirhoe involucrata,6.908,6.181
winecup-edge3-copy-copy-copy,Callirhoe involucrata,6.881,4.587
carex-glade6-copy-copy,Carex blanda,5.448,6.985
carex-glade6-copy-copy-2,Carex blanda,4.648,7.858
horseherb-carpet3-copy-2,Calyptocarpus vialis,3.898,7.163
winecup-edge3-copy-2,Callirhoe involucrata,4.794,6.204
carex-glade5-copy,Carex blanda,5.915,11.986
winecup-edge3-copy-3,Callirhoe involucrata,5.594,6.422
horseherb-carpet3-copy-3,Calyptocarpus vialis,3.407,9.505
winecup-edge3-copy-4,Callirhoe involucrata,4.758,11.294
carex-glade6-copy-copy-2-copy,Carex blanda,5.348,9.681
winecup-edge3-copy-5,Callirhoe involucrata,5.194,8.749
horseherb-carpet3-copy-3-copy,Calyptocarpus vialis,6.798,10.056
horseherb-carpet3-copy-3-copy-2,Calyptocarpus vialis,3.271,11.947
winecup-edge-copy,Callirhoe involucrata,7.151,12.081
horseherb-carpet4-copy,Calyptocarpus vialis,5.161,13.111
winecup-edge-copy-2,Callirhoe involucrata,3.952,12.954
carex-glade-copy,Carex blanda,3.302,10.879
horseherb-carpet4-copy-2,Calyptocarpus vialis,3.124,15.511
horseherb-carpet5-copy,Calyptocarpus vialis,3.054,14.063
winecup-edge2-copy,Callirhoe involucrata,14.776,15.017
carex-glade3-copy,Carex blanda,7.104,15.696
horseherb-carpet4-copy-3,Calyptocarpus vialis,6.251,15.438
groundsel-drift-copy,Packera obovata,8.750,14.526
winecup-edge4-copy,Callirhoe involucrata,10.126,16.026
carex-glade3-copy-2,Carex blanda,10.740,17.587
winecup-edge2-copy-copy,Callirhoe involucrata,12.713,16.550
winecup-edge2-copy-copy-copy,Callirhoe involucrata,12.758,15.428
horseherb-carpet2-copy,Calyptocarpus vialis,15.650,18.435
carex-glade3-copy-2-copy,Carex blanda,14.457,16.756
carex-glade3-copy-2-copy-2,Carex blanda,12.749,17.774
coralberry,Symphoricarpos orbiculatus,9.911,15.896
