id,species_id,x_ft,y_ft
beautyberry-east,beautyberry,11.825,16.566
turkscap-shade,pink-turks-cap,6.732,11.391
turkscap-kitchen,pink-turks-cap,6.401,8.505
honeysuckle-obelisk,coral-honeysuckle,3.344,4.065
passionflower-trellis,native-passionflower,5.237,9.776
carex-glade,carex-blanda,5.111,12.836
carex-glade2,carex-blanda,3.799,13.952
carex-glade3,carex-blanda,7.058,16.891
carex-glade4,carex-blanda,3.494,7.778
carex-glade5,carex-blanda,5.288,5.545
carex-glade6,carex-blanda,6.920,3.520
horseherb-carpet,horseherb,4.101,14.061
horseherb-carpet2,horseherb,16.303,16.535
horseherb-carpet3,horseherb,2.998,4.701
horseherb-carpet4,horseherb,4.715,16.705
horseherb-carpet5,horseherb,4.790,14.385
horseherb-carpet6,horseherb,8.389,16.821
horseherb-carpet7,horseherb,7.781,14.652
winecup-edge,winecup,6.705,13.134
winecup-edge2,winecup,12.803,14.503
winecup-edge3,winecup,6.603,7.907
winecup-edge4,winecup,9.790,14.094
groundsel-drift,golden-groundsel,7.032,11.248
yaupon,yaupon-holly,5.977,13.685
horseherb-carpet3-copy,horseherb,4.570,3.906
horseherb-carpet3-copy-copy,horseherb,4.761,3.403
carex-glade6-copy,carex-blanda,3.729,6.361
winecup-edge3-copy,winecup,5.085,3.368
horseherb-carpet3-copy-copy-2,horseherb,5.670,4.566
winecup-edge3-copy-copy,winecup,6.908,6.181
winecup-edge3-copy-copy-copy,winecup,6.881,4.587
carex-glade6-copy-copy,carex-blanda,5.448,6.985
carex-glade6-copy-copy-2,carex-blanda,4.648,7.858
horseherb-carpet3-copy-2,horseherb,3.898,7.163
winecup-edge3-copy-2,winecup,4.794,6.204
carex-glade5-copy,carex-blanda,5.915,11.986
winecup-edge3-copy-3,winecup,5.594,6.422
horseherb-carpet3-copy-3,horseherb,3.407,9.505
winecup-edge3-copy-4,winecup,4.758,11.294
carex-glade6-copy-copy-2-copy,carex-blanda,5.348,9.681
winecup-edge3-copy-5,winecup,5.194,8.749
horseherb-carpet3-copy-3-copy,horseherb,6.798,10.056
horseherb-carpet3-copy-3-copy-2,horseherb,3.271,11.947
winecup-edge-copy,winecup,7.151,12.081
horseherb-carpet4-copy,horseherb,5.161,13.111
winecup-edge-copy-2,winecup,3.952,12.954
carex-glade-copy,carex-blanda,3.302,10.879
horseherb-carpet4-copy-2,horseherb,0.452,2.355
horseherb-carpet5-copy,horseherb,3.054,14.063
winecup-edge2-copy,winecup,14.776,15.017
carex-glade3-copy,carex-blanda,7.104,15.696
horseherb-carpet4-copy-3,horseherb,6.251,15.438
groundsel-drift-copy,golden-groundsel,8.750,14.526
winecup-edge4-copy,winecup,10.126,16.026
carex-glade3-copy-2,carex-blanda,10.740,17.587
winecup-edge2-copy-copy,winecup,12.713,16.550
winecup-edge2-copy-copy-copy,winecup,12.758,15.428
horseherb-carpet2-copy,horseherb,15.339,17.377
carex-glade3-copy-2-copy,carex-blanda,14.246,16.113
carex-glade3-copy-2-copy-2,carex-blanda,12.749,17.774
coralberry,coralberry,4.870,5.854
mistflower,GM,5.952,4.131
mistflower-copy,GM,9.332,13.915
vernonia-gigantea-1,giant-ironweed,14.393,17.998
vernonia-gigantea-1-copy,giant-ironweed,15.654,16.576
vernonia-gigantea-1-copy-copy,giant-ironweed,16.476,18.304
verbesina-virginica-1,frostweed,8.139,13.927
verbesina-virginica-1-copy,frostweed,7.437,13.221
verbesina-virginica-1-copy-2,frostweed,8.934,15.226
