id,species_id,x_ft,y_ft
least-daisy-a,least-daisy,5.066,1.645
least-daisy-b,least-daisy,2.855,1.527
fineleaf-fournerved-edge,fineleaf-fournerved-daisy,3.859,0.957
fineleaf-fournerved-edge-copy,fineleaf-fournerved-daisy,0.638,0.700
fineleaf-fournerved-edge-copy-2,fineleaf-fournerved-daisy,1.840,1.045
green-milkweed-1,green-milkweed,5.015,4.186
engelmann-daisy-1,engelmann-daisy,3.206,7.933
engelmann-daisy-1-copy,engelmann-daisy,2.896,5.970
sideoats-grama-1,sideoats-grama,4.538,10.200
schizachyrium-scoparium-1,little-bluestem,1.858,7.170
topeka-coneflower-1,topeka-coneflower,3.833,2.507
liatris-mucronata-1,narrowleaf-gayfeather,5.347,5.715
liatris-pycnostachya-1,prairie-blazing-star,4.919,2.870
penstemon-cobaea-1,prairie-penstemon,2.531,5.724
engelmann-daisy-1-copy-2,engelmann-daisy,4.188,5.346
solidago-rigida-1,stiff-goldenrod,4.859,7.872
solidago-rigida-1-copy,stiff-goldenrod,4.282,9.148
solidago-rigida-1-copy-copy,stiff-goldenrod,5.988,9.159
solidago-rigida-1-copy-copy-copy,stiff-goldenrod,2.083,4.564
solidago-rigida-1-copy-copy-copy-copy,stiff-goldenrod,1.780,2.829
solidago-rigida-1-copy-copy-copy-copy-2,stiff-goldenrod,3.870,3.864
ipomopsis-rubra-1,standing-cypress,5.063,6.482
ipomopsis-rubra-1-copy,standing-cypress,5.981,6.651
neptunia-lutea-1,yellow-puff,7.000,0.000
penstemon-cobaea-2,prairie-penstemon,6.236,2.474
penstemon-cobaea-2-copy,prairie-penstemon,6.521,4.191
narrowleaf-snakeherb-1,narrowleaf-snakeherb,2.592,0.775
eryngium-leavenworthii-1,leavenworth-eryngo,2.611,8.865
eryngium-leavenworthii-1-copy,leavenworth-eryngo,2.107,8.907
eryngium-leavenworthii-1-copy-2,leavenworth-eryngo,2.476,7.761
conoclinium-coelestinum-1,blue-mistflower,2.104,11.082
white-rosinweed-1,white-rosinweed,5.297,11.611
