id,species_id,x_ft,y_ft
lonicera-sempervirens-1,coral-honeysuckle,25.295,1.571
lonicera-sempervirens-1-copy,coral-honeysuckle,25.609,5.139
lonicera-sempervirens-1-copy-copy,coral-honeysuckle,25.105,10.795
lonicera-sempervirens-1-copy-copy-copy,coral-honeysuckle,25.064,12.387
clematis-pitcheri-1,pitchers-clematis,24.873,18.365
passiflora-lutea-1,yellow-passionflower,27.448,4.073
matelea-gonocarpos-1-copy,angularfruit-milkvine,28.323,0.000
clematis-pitcheri-1-copy,pitchers-clematis,26.100,29.084
clematis-pitcheri-1-copy-2,pitchers-clematis,24.899,25.059
clematis-pitcheri-1-copy-3,pitchers-clematis,24.951,21.982
