name,program,tier,chapter,address,city,website,notes,checked_on,source
Eco Blossom Nursery,NICE,premier,North Central,3037 Joyce Dr,Fort Worth,https://ecoblossom.com/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
Native Gardeners,NICE,premier,North Central,3300 W Division St,Arlington,https://native-gardeners.com/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
Nativo Gardens,NICE,premier,North Central,1701 White Settlement Rd,Fort Worth,https://www.nativotx.com/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
Grow Wild Greenery,NICE,standard,North Central,5570 Huddleston Street,Haltom City,https://growwildgreenery.com/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
Marshall Grain,NICE,standard,North Central,5311 Colleyville Blvd,Colleyville,https://marshallgrain.com/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
River Glen Studio,NICE,standard,North Central,303 Southwest Barnard Street,Glen Rose,https://riverglenstudio.net/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
The Garden at Hulen Ace Hardware,NICE,standard,North Central,4551 Sycamore School Road,Fort Worth,https://www.acehardware.com/store-details/15229,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
Weston Gardens in Bloom,NICE,standard,North Central,8101 Anglin Drive,Fort Worth,https://westongardens.com/,,2026-09-23,https://www.npsot.org/chapters/north-central/programs-nice/
North Haven Gardens,NICE,,Dallas,7700 Northaven Road,Dallas,https://www.nhg.com/texas-natives/,,2026-09-23,https://www.npsot.org/chapters/dallas/nice-native-plant-partner-nurseries/
Randy Johnson Organics,NICE,,Dallas,,Mesquite,https://www.facebook.com/profile.php?id=100063160752141,,2026-09-23,https://www.npsot.org/chapters/dallas/nice-native-plant-partner-nurseries/
Redenta's,NICE,,Dallas,2001 Skillman St,Dallas,https://redentas.com/,,2026-09-23,https://www.npsot.org/chapters/dallas/nice-native-plant-partner-nurseries/
D&L Farm and Home,NICE,,Trinity Forks,7976 U.S. 377,Pilot Point,https://dandlfarmandhome.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Hartwell's Nursery,NICE,,Trinity Forks,1570 North Stemmons Freeway,Lewisville,https://hartwellsnursery.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Meador's Garden Center,NICE,,Trinity Forks,2623 James St,Denton,https://meadornursery.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Native Roots Perennial Farm & Garden,NICE,,Trinity Forks,8463 Crest View Road,Sanger,,By appointment only.,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
NTX Nursery & Stone,NICE,,Trinity Forks,4765 U.S. 377,Cross Roads,https://dolandscapes.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Painted Flower Farm,NICE,,Trinity Forks,3801 Lariat Road,Denton,https://paintedflowerfarm.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Rooted In,NICE,,Trinity Forks,12804 Pelzel Rd,Pilot Point,https://rootedin.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Shades of Green,NICE,,Trinity Forks,1213 East Sunset Boulevard,Celina,https://shadesofgreeninc.com/,,2026-09-23,https://www.npsot.org/chapters/trinity-forks/trinity-forks-resources/where-to-buy/
Fannin Tree Farm,chapter list,,Collin County,15700 State Highway 121,Frisco,https://fannintreefarm.com/,,2026-09-23,https://www.npsot.org/chapters/collin-county/programs/n-texas-native-plant-sales-nurseries/
Hugs Greenhouse,chapter list,,Collin County,1151 E Cottage Hill Parkway,McKinney,https://hugscafe.org/greenhouse/,,2026-09-23,https://www.npsot.org/chapters/collin-county/programs/n-texas-native-plant-sales-nurseries/
HyperMotion,chapter list,,Collin County,8021 Co Rd 167,McKinney,https://hypermotionlandscape.com/,,2026-09-23,https://www.npsot.org/chapters/collin-county/programs/n-texas-native-plant-sales-nurseries/
Native American Seed,chapter list,,Collin County,,Junction,https://www.seedsource.com/,Online seed catalog.,2026-09-23,https://www.npsot.org/chapters/collin-county/programs/n-texas-native-plant-sales-nurseries/
Turner Seed,chapter list,,Collin County,,,https://turnerseed.com/,Online grass and wildflower seed.,2026-09-23,https://www.npsot.org/chapters/collin-county/programs/n-texas-native-plant-sales-nurseries/
