organizer,event,kind,start_date,end_date,hours,access,venue,city,offers,url,notes,checked_on,source
Texas Discovery Gardens,Fall Plant Sale,sale,2026-09-18,2026-09-18,4–7 PM,members,Texas Discovery Gardens (Fair Park),Dallas,,https://txdg.org/plantsale/,Members-only evening; have your membership number ready.,2026-09-23,https://txdg.org/plantsale/
Texas Discovery Gardens,Fall Plant Sale,sale,2026-09-19,2026-09-20,9 AM–1 PM,public,Texas Discovery Gardens (Fair Park),Dallas,,https://txdg.org/plantsale/,Availability list posted one week before the sale.,2026-09-23,https://txdg.org/plantsale/
Molly Hollar Wildscape,Fall Native Plant Sale,sale,2026-09-27,2026-09-27,10 AM–12 PM,public,"Greenhouse at the ACTIV Recreation Center, 2061 W Green Oaks Blvd",Arlington,native,https://thewildscape.org/plant-sale.php,Grown by Wildscape volunteers; plant list on the flyer.,2026-09-23,https://thewildscape.org/plant-sale.php
Fort Worth Botanic Garden,Fall Plant Sale,sale,2026-10-02,2026-10-03,Fri 2–6 PM; Sat 9 AM–3 PM,public,"The Grove, 3220 Botanic Garden Blvd",Fort Worth,mixed,https://fwbg.org/full-calendar/fall-plant-sale/,"Native perennials alongside annuals, trees, and shrubs; members get early access.",2026-09-23,https://fwbg.org/full-calendar/fall-plant-sale/
Dogwood Canyon Audubon Center,Fall Native Plant Sale (online orders open),online,2026-10-07,,,public,Curbside pickup at 1206 FM 1382,Cedar Hill,native,https://www.audubon.org/dogwood-canyon/explore/native-plants/native-plant-sales-dogwood-canyon,Online orders continue after the in-person sales until inventory is gone. The page gives no year; the weekdays match 2026.,2026-09-23,https://www.audubon.org/dogwood-canyon/explore/native-plants/native-plant-sales-dogwood-canyon
Dogwood Canyon Audubon Center,Native Plant Sale,sale,2026-10-17,2026-10-17,9 AM–2 PM,public,"1206 FM 1382",Cedar Hill,native,https://www.audubon.org/dogwood-canyon/explore/native-plants/native-plant-sales-dogwood-canyon,Primary shopping day with volunteers to help choose plants.,2026-09-23,https://www.audubon.org/dogwood-canyon/explore/native-plants/native-plant-sales-dogwood-canyon
NPSOT North Central Chapter,Fall Native Plant Sale,sale,2026-10-17,2026-10-17,10:30 AM–1 PM,public,"White Settlement Central Park, 8902 George St",White Settlement,native,https://www.npsot.org/chapters/north-central/plant-sale-information/,"Over 1,000 locally grown native plants from member growers; cash and cards accepted.",2026-09-23,https://www.npsot.org/chapters/north-central/plant-sale-information/
NPSOT with H-E-B,Texas Native Plant Celebration,event,2026-10-17,2026-10-25,Sat 11 AM–3 PM; Sun 12–4 PM,public,"Participating H-E-B stores, incl. Frisco, Plano, McKinney, Fort Worth (Heritage Trace), Hudson Oaks",DFW (several stores),,https://www.npsot.org/our-work/texas-native-plant-week/h-e-b-native-plant-sale/,"Oct 17–18 and 24–25 only. Native plants in store, free native seed packets, and NPSOT volunteers.",2026-09-23,https://www.npsot.org/our-work/texas-native-plant-week/h-e-b-native-plant-sale/
Collin County Master Gardeners Association,Fall Plant Sale,sale,2026-10-24,2026-10-24,9 AM–12 PM,public,"Myers Park Show Barn, 7117 County Road 166",McKinney,,https://ccmgatx.org/events/,Runs until sold out.,2026-09-23,https://ccmgatx.org/events/
Dogwood Canyon Audubon Center,Native Plant Sale – Encore,sale,2026-10-31,2026-10-31,9 AM–12 PM,public,"1206 FM 1382",Cedar Hill,native,https://www.audubon.org/dogwood-canyon/explore/native-plants/native-plant-sales-dogwood-canyon,Remaining fall inventory; selection limited.,2026-09-23,https://www.audubon.org/dogwood-canyon/explore/native-plants/native-plant-sales-dogwood-canyon
