id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max
calamus,calamus,Acorus calamus,mound,3-8,5,#e8d24a,,#5b7a4b,,,full-sun,high,"sandy,loamy",,5,,,,#6b5a4a,6-8,light,ACCA4,Acorus calamus L.,Forb/herb,CAN:I|L48:I,Rhizomatous,Semi-Erect,Coarse,Dense,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,5.0,High,None,High,Yes,Yes,No,5.2,7.2
southern-sugar-maple,southern sugar maple,Acer floridanum,tree,3-8,4,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy",,50,,,,#b3261e,3-8,heavy,ACFL,Acer floridanum (Chapm.) Pax,Tree,L48:N,Single Stem,Erect,Medium,Dense,Porous,No,No,Yes,Yes,Mid Spring,Spring and Summer,Spring,Summer,50.0,Low,Low,Medium,Yes,Yes,No,5.0,6.5
bigtooth-maple,bigtooth maple,Acer grandidentatum,vase,3-8,3-5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,38,,,,#6b5a4a,6-8,moderate,ACGR3,Acer grandidentatum Nutt.,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,No,No,Spring,Spring and Summer,Summer,Summer,38.0,Medium,Low,Medium,Yes,Yes,Yes,6.0,8.0
indian-ricegrass,Indian ricegrass,Achnatherum hymenoides,grass,3-11,5,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2,,,,#6b5a4a,3-8,moderate,ACHY,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Spring,Summer,2.0,High,High,Low,Yes,Yes,No,6.6,8.6
common-yarrow,common yarrow,Achillea millefolium,mound,3-5,6,#f1f1e2,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#6b5a4a,6-8,moderate,ACMI2,Achillea millefolium L.,Forb/herb,AK:N|CAN:I|CAN:N|GL:N|HI:I|L48:I|L48:N|SPM:I|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Early Summer,Spring,Summer,Summer,3.0,Medium,Medium,Medium,No,Yes,No,6.0,8.0
western-yarrow,western yarrow,Achillea millefolium var. occidentalis,mound,3-5,5,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,3,,,,#6b5a4a,6-11,moderate,ACMIO,Achillea millefolium L. var. occidentalis DC.,Forb/herb,AK:N|CAN:N|GL:N|L48:N|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Late Spring,Spring,Summer,Fall,3.0,Medium,Medium,Medium,Yes,Yes,No,6.0,8.0
boxelder,boxelder,Acer negundo,tree,3-8,3,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,60,,,,#6b5a4a,6-11,heavy,ACNE2,Acer negundo L.,Tree,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,No,Yes,Yes,Early Spring,Spring and Summer,Summer,Fall,60.0,Low,High,Medium,Yes,Yes,Yes,5.0,7.8
dore-s-needlegrass,Dore's needlegrass,Achnatherum nelsonii ssp. dorei,grass,3-8,6,#e8d24a,,#5b7a4b,,,full-sun,low,loamy,,3,,,,#6b5a4a,6-8,moderate,ACNED,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Graminoid,CAN:N|L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Summer,3.0,High,High,Low,No,Yes,No,6.8,8.0
oppositeleaf-spotflower,oppositeleaf spotflower,Acmella oppositifolia var. repens,mound,6-8,8,#5b7a4b,,#5b7a4b,,,full-sun,medium,"loamy,clay",,0.7,,,,#3a3a34,6-11,moderate,ACOPR,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,Forb/herb,L48:N,Stoloniferous,Prostrate,Fine,Porous,Porous,No,Yes,No,No,Late Summer,Summer,Summer,Fall,0.7,High,Low,Medium,No,Yes,Yes,5.0,7.5
red-maple,red maple,Acer rubrum,tree,3-8,3,#b3261e,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,68,,,,#b3261e,3-5,heavy,ACRU,Acer rubrum L.,Tree,CAN:N|L48:N,Single Stem,Rounded,Medium,Dense,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Spring,68.0,Medium,Medium,High,Yes,Yes,Yes,4.7,7.3
